Date,Nifty_Previous_Close,Nifty_Open,Open_Change,Nifty_Low,Nifty_High,Nifty_Close,Close_Change,Close_Change_%,Volume
2025-08-13,,24586.2,,24535.25,24664.55,24619.35,,,236000
2025-08-14,24619.35,24607.25,-12.1,24596.9,24673.65,24631.3,11.95,0.05,270200
2025-08-18,24631.3,24938.2,306.9,24852.85,25022.0,24876.95,245.65,1.0,363100
2025-08-19,24876.95,24891.35,14.4,24873.95,25012.65,24980.65,103.7,0.42,252300
2025-08-20,24980.65,24965.8,-14.85,24929.7,25088.7,25050.55,69.9,0.28,287100
2025-08-21,25050.55,25142.0,91.45,25054.9,25153.65,25083.75,33.2,0.13,226500
2025-08-22,25083.75,25064.15,-19.6,24859.15,25084.85,24870.1,-213.65,-0.85,210200
2025-08-25,24870.1,24949.15,79.05,24894.35,25021.55,24967.75,97.65,0.39,213000
2025-08-26,24967.75,24899.5,-68.25,24689.6,24919.65,24712.05,-255.7,-1.02,750500
2025-08-28,24712.05,24695.8,-16.25,24481.6,24702.65,24500.9,-211.15,-0.85,326600
2025-08-29,24500.9,24466.7,-34.2,24404.7,24572.45,24426.85,-74.05,-0.3,325500
2025-09-01,24426.85,24432.7,5.85,24432.7,24635.6,24625.05,198.2,0.81,229300
2025-09-02,24625.05,24653.0,27.95,24522.35,24756.1,24579.6,-45.45,-0.18,271600
2025-09-03,24579.6,24616.5,36.9,24533.2,24737.05,24715.05,135.45,0.55,340300
2025-09-04,24715.05,24980.75,265.7,24708.2,24980.75,24734.3,19.25,0.08,314100
2025-09-05,24734.3,24818.85,84.55,24621.6,24832.35,24741.0,6.7,0.03,210100
2025-09-08,24741.0,24802.6,61.6,24751.55,24885.5,24773.15,32.15,0.13,213200
2025-09-09,24773.15,24864.1,90.95,24814.0,24891.8,24868.6,95.45,0.39,226900
2025-09-10,24868.6,24991.0,122.4,24915.05,25035.7,24973.1,104.5,0.42,244100
2025-09-11,24973.1,24945.5,-27.6,24940.15,25037.3,25005.5,32.4,0.13,224600
2025-09-12,25005.5,25074.45,68.95,25038.05,25139.45,25114.0,108.5,0.43,225700
2025-09-15,25114.0,25118.9,4.9,25048.75,25138.45,25069.2,-44.8,-0.18,185400
2025-09-16,25069.2,25073.6,4.4,25070.45,25261.4,25239.1,169.9,0.68,240100
2025-09-17,25239.1,25276.6,37.5,25275.35,25346.5,25330.25,91.15,0.36,268900
2025-09-18,25330.25,25441.05,110.8,25329.75,25448.95,25423.6,93.35,0.37,272200
2025-09-19,25423.6,25410.2,-13.4,25286.3,25428.75,25327.05,-96.55,-0.38,380400
2025-09-22,25327.05,25238.1,-88.95,25151.05,25331.7,25202.35,-124.7,-0.49,254500
2025-09-23,25202.35,25209.0,6.65,25084.65,25261.9,25169.5,-32.85,-0.13,299200
2025-09-24,25169.5,25108.75,-60.75,25027.45,25149.85,25056.9,-112.6,-0.45,244400
2025-09-25,25056.9,25034.5,-22.4,24878.3,25092.7,24890.85,-166.05,-0.66,342500
2025-09-26,24890.85,24818.55,-72.3,24629.45,24868.6,24654.7,-236.15,-0.95,291500
2025-09-29,24654.7,24728.55,73.85,24606.2,24791.3,24634.9,-19.8,-0.08,394400
2025-09-30,24634.9,24691.95,57.05,24587.7,24731.8,24611.1,-23.8,-0.1,303000
2025-10-01,24611.1,24620.55,9.45,24605.95,24867.95,24836.3,225.2,0.92,308900
2025-10-03,24836.3,24759.55,-76.75,24747.55,24904.8,24894.25,57.95,0.23,365900
2025-10-06,24894.25,24916.55,22.3,24881.65,25095.95,25077.65,183.4,0.74,268800
2025-10-07,25077.65,25085.3,7.65,25076.3,25220.9,25108.3,30.65,0.12,288000
2025-10-08,25108.3,25079.75,-28.55,25008.5,25192.5,25046.15,-62.15,-0.25,227400
2025-10-09,25046.15,25074.3,28.15,25024.3,25199.25,25181.8,135.65,0.54,286300
2025-10-10,25181.8,25167.65,-14.15,25156.85,25330.75,25285.35,103.55,0.41,232900
2025-10-13,25285.35,25177.3,-108.05,25152.3,25267.3,25227.35,-58.0,-0.23,234300
2025-10-14,25227.35,25277.55,50.2,25060.55,25310.35,25145.5,-81.85,-0.32,292100
2025-10-15,25145.5,25181.95,36.45,25159.35,25365.15,25323.55,178.05,0.71,289900
2025-10-16,25323.55,25394.9,71.35,25376.85,25625.4,25585.3,261.75,1.03,372800
2025-10-17,25585.3,25546.85,-38.45,25508.6,25781.5,25709.85,124.55,0.49,422100
2025-10-20,25709.85,25824.6,114.75,25788.5,25926.2,25843.15,133.3,0.52,301100
2025-10-21,25843.15,25901.2,58.05,25825.8,25934.35,25868.6,25.45,0.1,42500
2025-10-23,25868.6,26057.2,188.6,25862.45,26104.2,25891.4,22.8,0.09,448400
2025-10-24,25891.4,25935.1,43.7,25718.2,25944.15,25795.15,-96.25,-0.37,284900
2025-10-27,25795.15,25843.2,48.05,25827.0,26005.95,25966.05,170.9,0.66,266300
2025-10-28,25966.05,25939.95,-26.1,25810.05,26041.7,25936.2,-29.85,-0.11,395200
2025-10-29,25936.2,25982.0,45.8,25960.3,26097.85,26053.9,117.7,0.45,321900
2025-10-30,26053.9,25984.4,-69.5,25845.25,26032.05,25877.85,-176.05,-0.68,257400
2025-10-31,25877.85,25863.8,-14.05,25711.2,25953.75,25722.1,-155.75,-0.6,334400
2025-11-03,25722.1,25696.85,-25.25,25645.5,25803.1,25763.35,41.25,0.16,23300
2025-11-04,25763.35,25744.75,-18.6,25578.4,25787.4,25597.65,-165.7,-0.64,305100
2025-11-06,25597.65,25593.35,-4.3,25491.55,25679.15,25509.7,-87.95,-0.34,371900
2025-11-07,25509.7,25433.8,-75.9,25318.45,25551.25,25492.3,-17.4,-0.07,305600
2025-11-10,25492.3,25503.5,11.2,25503.5,25653.45,25574.35,82.05,0.32,243600
2025-11-11,25574.35,25617.0,42.65,25449.25,25715.8,25694.95,120.6,0.47,297700
2025-11-12,25694.95,25834.3,139.35,25781.15,25934.55,25875.8,180.85,0.7,312600
2025-11-13,25875.8,25906.1,30.3,25808.4,26010.7,25879.15,3.35,0.01,385200
2025-11-14,25879.15,25767.9,-111.25,25740.8,25940.2,25910.05,30.9,0.12,518900
2025-11-17,25910.05,25948.2,38.15,25906.35,26024.2,26013.45,103.4,0.4,281800
2025-11-18,26013.45,26021.8,8.35,25876.5,26029.85,25910.05,-103.4,-0.4,280000
2025-11-19,25910.05,25918.1,8.05,25856.2,26074.65,26052.65,142.6,0.55,250100
2025-11-20,26052.65,26132.1,79.45,26063.2,26246.65,26192.15,139.5,0.54,240400
2025-11-21,26192.15,26109.55,-82.6,26052.2,26179.2,26068.15,-124.0,-0.47,235600
2025-11-24,26068.15,26122.8,54.65,25912.15,26142.8,25959.5,-108.65,-0.42,464700
2025-11-25,25959.5,25998.5,39.0,25857.5,26032.6,25884.8,-74.7,-0.29,260500
2025-11-26,25884.8,25842.95,-41.85,25842.95,26215.15,26205.3,320.5,1.24,275300
2025-11-27,26205.3,26261.25,55.95,26141.9,26310.45,26215.55,10.25,0.04,240300
2025-11-28,26215.55,26237.45,21.9,26172.4,26280.75,26202.95,-12.6,-0.05,202500
2025-12-01,26202.95,26325.8,122.85,26124.2,26325.8,26175.75,-27.2,-0.1,213800
2025-12-02,26175.75,26087.95,-87.8,25997.85,26154.6,26032.2,-143.55,-0.55,254800
2025-12-03,26032.2,26004.9,-27.3,25891.0,26066.45,25986.0,-46.2,-0.18,265700
2025-12-04,25986.0,25981.85,-4.15,25938.95,26098.25,26033.75,47.75,0.18,248100
2025-12-05,26033.75,25999.8,-33.95,25985.35,26202.6,26186.45,152.7,0.59,249300
2025-12-08,26186.45,26159.8,-26.65,25892.25,26178.7,25960.55,-225.9,-0.86,320700
2025-12-09,25960.55,25867.1,-93.45,25728.0,25923.65,25839.65,-120.9,-0.47,276000
2025-12-10,25839.65,25864.05,24.4,25734.55,25947.65,25758.0,-81.65,-0.32,207900
2025-12-11,25758.0,25771.4,13.4,25693.25,25922.8,25898.55,140.55,0.55,206100
2025-12-12,25898.55,25971.2,72.65,25938.45,26057.6,26046.95,148.4,0.57,216300
2025-12-15,26046.95,25930.05,-116.9,25904.75,26047.15,26027.3,-19.65,-0.08,181600
2025-12-16,26027.3,25951.5,-75.8,25834.35,25980.75,25860.1,-167.2,-0.64,264400
2025-12-17,25860.1,25902.4,42.3,25770.35,25929.15,25818.55,-41.55,-0.16,206500
2025-12-18,25818.55,25764.7,-53.85,25726.3,25902.35,25815.55,-3.0,-0.01,197600
2025-12-19,25815.55,25911.5,95.95,25880.45,25993.35,25966.4,150.85,0.58,382900
2025-12-22,25966.4,26055.85,89.45,26047.8,26180.7,26172.4,206.0,0.79,253000
2025-12-23,26172.4,26205.2,32.8,26119.05,26233.55,26177.15,4.75,0.02,216600
2025-12-24,26177.15,26170.65,-6.5,26123.0,26236.4,26142.1,-35.05,-0.13,188800
2025-12-26,26142.1,26121.25,-20.85,26008.6,26144.2,26042.3,-99.8,-0.38,142200
2025-12-29,26042.3,26063.35,21.05,25920.3,26106.8,25942.1,-100.2,-0.38,234300
